latitude,longitude,station_name
-22.7667,-45.1167,HARAS MONDESIR 
-22.7667,-45.5167,PICO DO ITAPEVA 
-22.8122,-45.1825,GUARATINGUETA 
-22.8000,-45.1667,GUARATINGUETA 
-22.8333,-45.6333,EUGENIO LEFEVRE 
-22.9000,-45.4333,PINDAMONHANGABA 
-22.9111,-45.4703,PINDAMONHANGABA 
-22.9500,-45.2500,BONFIM 
-22.9333,-45.8333,MONTEIRO LOBATO 
-22.5097,-45.2867,DELFIM MOREIRA 
-22.5167,-45.3667,VILA MARIA 
-22.3000,-45.3833,MARIA DA FE 
-22.4333,-45.4500,ITAJUBA (INMET) 
-22.0528,-45.6989,CAREACU 
-22.2447,-45.9597,POUSO ALEGRE 
-22.1167,-45.1333,OLIMPIO NORONHA 
-22.3756,-45.4469,SAO JOAO DE ITAJUBA 
-22.1322,-45.9178,VARGEM DO CERVO 
-22.4069,-45.2150,BAIRRO SANTA CRUZ 
-22.7000,-45.1333,FAZENDA SAO JOSE 
-22.7667,-45.7000,ZE DA ROSA 
-22.6667,-45.5667,BAIRRO AGUA SANTA 
-22.3147,-45.3731,MARIA DA FE 
-22.7667,-45.6833,ROSAS (SANATORIO) 
-22.8167,-45.7333,RIO PRETO 
-22.1000,-45.0167,SAO LOURENCO 
-22.7481,-45.1022,LORENA 
-22.7100,-46.7747,AMPARO 
-22.1667,-46.7333,ESPIRITO SANTO DO PINHAL 
-22.2167,-46.9500,ITAQUI 
-22.2667,-46.7500,USINA PINHAL 
-22.3664,-46.9314,MOGI GUACU 
-22.4500,-46.8167,ITAPIRA 
-22.9597,-45.5539,TREMEMBE 
-22.5167,-46.6500,LINDOIA 
-22.6000,-46.7000,SERRA NEGRA 
-22.5167,-46.6667,LINDOIA 
-22.6667,-46.9667,FAZENDA DA BARRA 
-22.7000,-46.6667,MONTE ALEGRE DO SUL 
-22.7833,-46.6000,PINHALZINHO 
-22.7833,-46.9997,DESEMBARGADOR FURTADO 
-22.8167,-46.6833,TUIUTI 
-22.8167,-46.9000,PCH JAGUARI MONTANTE 
-22.8833,-46.6167,MAE DOS HOMENS 
-22.9333,-46.5333,BRAGANCA PAULISTA 
-22.9333,-46.9000,PCH SALTO GRANDE JUSANTE 
-22.7600,-46.1469,CAMANDUCAIA 
-22.9333,-46.2667,JOANOPOLIS 
-22.9667,-46.1000,FAZENDA BONFIM 
-22.6000,-46.9500,POSSE DE RESSACA (CMEF) 
-22.9500,-46.5333,BRAGANCA PAULISTA - FUMEST 
-22.0167,-47.9000,SAO CARLOS (INMET) 
-22.0167,-47.9000,VILA CARMEM 
-22.1333,-47.6667,ANALANDIA 
-22.2167,-47.6167,CORUMBATAI 
-22.2833,-47.1500,CAMPININHA 
-22.8833,-46.7833,MORUNGABA 
-22.7500,-46.9333,PEDREIRA 
-22.7500,-46.1500,CAMANDUCAIA 
-22.3833,-46.7833,BOM SUCESSO 
-22.4167,-47.5500,RIO CLARO 
-22.4333,-47.7167,IPEUNA 
-22.4833,-47.5167,SANTA GERTRUDES 
-22.5167,-47.7833,CHARQUEADA 
-22.5667,-47.3667,LIMEIRA 
-22.5833,-47.5500,IRACEMAPOLIS 
-22.6667,-47.2167,USINA ESTER 
-22.7333,-47.3333,AMERICANA (CPEF) 
-22.7333,-47.5333,TUPI (EMSA) 
-22.7500,-47.4500,FAZENDA SAO PEDRO 
-22.7833,-47.0333,FAZENDA MONTE D'ESTE 
-22.8333,-47.0667,BARAO GERALDO 
-22.9000,-47.0500,CAMPINAS (INMET) 
-22.8833,-47.0833,CAMPINAS - IA 
-22.8833,-47.3667,FAZENDA AREIA BRANCA 
-22.9000,-47.0667,CAMPINAS (CPEF) 
-22.7000,-47.6500,PIRACICABA 
-22.9000,-47.0667,BAIRRO DO TAQUARAL 
-23.0161,-47.5094,CAPIVARI 
-22.0167,-47.9000,SAO CARLOS 
-22.7000,-47.3000,NOVA ODESSA 
-22.5667,-47.1667,ARTUR NOGUEIRA 
-22.8333,-47.4333,FAZENDA SAO LUIZ 
-22.9167,-47.3833,FAZENDA MONTE BELO 
-22.8667,-47.6500,FAZENDA MONTE CARMELO 
-22.0333,-47.9667,MONJOLINHO (CPEF) 
-22.5167,-47.4000,FAZENDA ITAPEMA 
-22.9667,-47.0833,FAZENDA SETE QUEDAS 
-22.4833,-47.2167,ENGENHEIRO COELHO (EFS) 
-22.3833,-47.4167,COLONIA AGUA BOA 
-22.0167,-47.8833,SAO CARLOS 
-22.9997,-47.5000,CAPIVARI 
-22.7072,-46.9867,JAGUARIUNA 
-22.4833,-47.5833,GRANJA NOVA ZELANDIA 
-22.7333,-47.3333,SILOS 
-22.5667,-47.4000,LIMEIRA 
-22.8500,-47.2500,SUMARE 
-22.3000,-48.5333,JAU (CPEF) 
-22.2500,-48.5667,JAU 
-22.3333,-48.9833,SANATORIO AIMORES 
-22.3333,-48.5667,JAU (ACCO) 
-22.2167,-48.6000,POUSO ALEGRE 
-22.2333,-49.9333,MARILIA (ACCO) 
-22.3000,-49.1500,VAL DE PALMAS 
-22.3167,-49.0333,BAURU (PDV) 
-22.3167,-49.9997,BAIRRO SAO GERALDO 
-22.4167,-49.1333,PIRATININGA 
-22.9833,-49.8333,OURINHOS 
-22.4000,-49.1333,PIRATININGA (ACCO) 
-22.2833,-49.1167,BAURU 
-22.2167,-49.9500,MARILIA (CPEF) 
-22.4333,-50.9997,TRONCAO RANCHARIA 
-22.7000,-52.0500,FAZENDA IRMAOS SASAKI 
-22.6542,-52.8606,DIAMANTE DO NORTE 
-22.3050,-53.8311,IVINHEMA 
-23.0000,-44.3167,ANGRA DOS REIS 
-22.1000,-56.5333,BELA VISTA 
-23.0833,-44.9000,FAZENDA DO CUME 
-23.0667,-44.9500,CUNHA (INMET) 
-23.3833,-44.8333,PICINGUABA 
-23.3172,-44.7217,PATRIMONIO 
-23.2236,-44.7639,PARATI 
-23.4500,-45.0833,UBATUBA 
-23.0047,-44.5364,VILA PEREQUE 
-23.0333,-45.5667,TAUBATE 
-23.0667,-45.5500,FAZENDA CATAGUA 
-23.1167,-45.2000,FAXINAL 
-23.0833,-45.6667,CERAMICA QUIRINO 
-23.1333,-45.7167,SAPE 
-23.1833,-45.4667,BAIRRO BOM RETIRO 
-23.2000,-45.5333,FAZENDA IPIRANGA 
-23.2333,-45.3000,SAO LUIS DO PARAITINGA 
-23.1833,-45.8833,SAO JOSE DOS CAMPOS 
-23.2167,-45.7833,BAIRRO CAJURU 
-23.2833,-45.9500,JACAREI 
-23.2833,-45.7833,VARADOURO 
-23.3000,-45.9667,ITAPEVA (DER) 
-23.3167,-45.8833,JARDIM 
-23.3667,-45.3667,LARANJAL 
-23.1333,-45.7500,SANTA LUZIA 
-23.3833,-45.1167,MATO DENTRO 
