latitude,longitude,station_name
-20.2167,-48.7500,FAZENDA DAS PALMEIRAS 
-20.1833,-48.0167,MIGUELOPOLIS 
-20.4500,-48.9667,FAZENDA GLORIA 
-20.7167,-48.2333,FAZENDA INGOIO 
-20.5833,-48.3667,FAZENDA PALMEIRAS 
-20.6167,-48.0000,COMPANHIA VALE DO ROSARIO 
-20.6161,-48.4669,FAZENDA SANTA GENOVEVA 
-20.4500,-48.2833,FAZENDA SAO FRANCISCO 
-20.3667,-48.2833,FAZENDA INVERNADINHA 
-20.7333,-48.9167,OLIMPIA (SANBRA) 
-20.2500,-48.8167,FAZENDA CAMPO GRANDE (CUTRALE) 
-20.1719,-48.6825,PORTO COLOMBIA 
-20.2333,-47.3333,FAZENDA DA MATA 
-20.0333,-47.7333,USINA JUNQUEIRA (SEDE) 
-20.1500,-48.6833,COLOMBIA 
-21.6167,-41.3000,TRAVESSAO 
-20.9400,-48.0775,FAZENDA BELA VISTA 
-20.0333,-49.4000,PAULO DE FARIA 
-20.1333,-49.9667,FAZENDA SANTA LAURA 
-20.3000,-49.7667,FAZENDA SANTA MARIA 
-20.3833,-49.4333,PALESTINA 
-20.4333,-49.9833,VOTUPORANGA (ACCO) 
-20.4833,-49.5667,IBIPORANGA 
-20.4833,-49.7833,COSMORAMA 
-20.5000,-49.9500,CRUZEIRO 
-20.5167,-49.0500,ALTAIR 
-20.6167,-49.3000,ONDA VERDE 
-20.6167,-49.4667,MIRASSOLANDIA 
-20.6167,-49.6500,TANABI 
-20.7333,-49.5833,BALSAMO 
-20.6333,-49.9500,SEBASTIANOPOLIS DO SUL 
-20.7667,-49.7000,MONTE APRAZIVEL 
-20.8000,-49.3833,SAO JOSE DO RIO PRETO 
-20.8167,-49.5167,MIRASSOL 
-20.8000,-49.9667,MACAUBAL 
-20.8000,-49.3833,SAO JOSE DO RIO PRETO 
-20.8167,-49.5167,MIRASSOL (EFA) 
-20.8667,-49.3000,ENGENHEIRO SCHMIDT 
-20.9167,-49.4500,BADY BASSIT 
-20.9167,-49.7833,NIPOA 
-20.9833,-49.0167,TABAPUA 
-20.9667,-49.1833,UCHOA 
-20.4333,-49.9833,VOTUPORANGA 
-20.7667,-49.7167,MONTE APRAZIVEL (SANBRA) 
-20.8167,-49.3833,FERREIRA E BUENO (ACCO) 
-20.5333,-49.3000,NOVA GRANADA (ETA) 
-20.5333,-49.3333,NOVA GRANADA (CPEF) 
-20.0833,-49.9167,CARDOSO 
-20.9167,-49.3000,CEDRAL 
-20.2500,-49.5500,DUPLO CEU 
-20.7667,-49.0667,FAZENDA CRUZ ALTA 
-20.8000,-49.2167,GUAPIACU 
-20.4167,-49.9833,VOTUPORANGA 
-20.0333,-50.7333,SANTA ALBERTINA 
-20.0667,-50.3500,GUARANI D'OESTE 
-20.1500,-50.2000,MACEDONIA 
-20.2333,-50.6500,URANIA 
-20.2500,-50.8000,SANTANA DA PONTE PENSA 
-20.2833,-50.2500,FERNANDOPOLIS (ACCO) 
-20.3000,-50.0167,PARISI 
-20.4000,-50.1167,FAZENDA JACILANDIA 
-20.4333,-50.0667,VALENTIM GENTIL 
-20.4167,-50.7667,PALMEIRA D'OESTE 
-20.4333,-50.5333,PONTALINDA 
-20.7000,-50.5500,AURIFLAMA 
-20.6833,-50.9167,SUD MENNUCCI 
-20.7667,-50.3167,NOVA CASTILHO 
-20.8000,-50.1833,GASTAO VIDIGAL 
-20.8667,-50.4833,MAJOR PRADO 
-20.9167,-50.8333,FAZENDA JACAREZINHO 
-20.9667,-50.6833,FAZENDA ARACANGUA 
-20.4839,-50.4219,GENERAL SALGADO 
